week,followers,satisfaction,attendance,revenue,cash,condition
1,2507,64.99,324,9720,72720,100.00
2,2520,64.57,340,10200,78920,100.00
3,2535,64.38,359,10770,85690,100.00
4,2552,63.63,368,11040,92730,100.00
5,2569,63.34,365,10950,85280,100.00
6,2585,62.37,381,11430,92710,100.00
7,2601,62.27,382,11460,100170,100.00
8,2616,61.87,387,11610,107780,100.00
9,2633,61.56,403,12090,101470,100.00
10,2648,61.04,400,12000,109470,100.00
11,2662,61.11,393,11790,117260,100.00
12,2677,60.66,395,11850,125110,100.00
